image, root_name, root, length, vector_length, surface, volume, direction, diameter, root_order, root_ontology, parent_name, parent, insertion_position, insertion_angle, n_child, child_density, first_child, insertion_first_child, last_child, insertion_last_child
R2_8668_B_L_0001, R2_B_L_38E, 3defcecd-b0a6-460e-bc11-31ff61f39d3b,0.06701903,0.06701903,0.00347811,1.44E-05,230.6720173,0.016519122,1, Lateral root, R2_B_L_38, 2c058ecb-a5f4-4fa5-a522-19d97118783e,0.34122774,109.2939004,0,0, null, null, null, null
R2_8668_B_L_0001, R2_B_L_38D, f20e171a-2803-4e87-9a12-83d586fc9e3d,0.1312196,0.13068867,0.006524804,2.77E-05,248.9474179,0.015562366,1, Lateral root, R2_B_L_38, 2c058ecb-a5f4-4fa5-a522-19d97118783e,0.9835565,106.1037649,0,0, null, null, null, null
R2_8668_B_L_0001, R2_B_L_38C, d22fc82f-2dd9-4dc4-ae50-e709ef46315b,0.092130445,0.08877192,0.005217496,2.38E-05,245.3879331,0.016771419,1, Lateral root, R2_B_L_38, 2c058ecb-a5f4-4fa5-a522-19d97118783e,0.70861626,94.40859592,0,0, null, null, null, null
R2_8668_B_L_0001, R2_B_L_38B, edd6cbd4-87fa-447d-a0c5-12614536950a,0.076415166,0.076415166,0.003001586,9.38E-06,87.64508305,0.012503163,1, Lateral root, R2_B_L_38, 2c058ecb-a5f4-4fa5-a522-19d97118783e,0.45882192,112.2575741,0,0, null, null, null, null
R2_8668_B_L_0001, R2_B_L_38A, e6c2fabd-aff0-49b6-9fa1-1523e55d97c6,0.12920731,0.12802988,0.014420088,1.30E-04,75.09454215,0.03529522,1, Lateral root, R2_B_L_38, 2c058ecb-a5f4-4fa5-a522-19d97118783e,1.1294358,92.80137044,0,0, null, null, null, null
R2_8668_B_L_0001, R2_B_L_38, 2c058ecb-a5f4-4fa5-a522-19d97118783e,1.4696172,1.436744,0.16228496,0.001496031,296.7962535,0.03290203,0, Primary root,-1,-1,-0.008466667,-57.29577951,5,6.3435025, 3defcecd-b0a6-460e-bc11-31ff61f39d3b,0.34122774, e6c2fabd-aff0-49b6-9fa1-1523e55d97c6,1.1294358
R2_8668_B_L_0001, R2_B_L_37, 4a7d76d2-19db-428b-9bfa-d6a4cfbfc8bd,1.986057,1.8762151,0.1568814,0.001048491,143.8056441,0.024828687,0, Primary root,-1,-1,-0.008466667,-57.29577951,0,0, null, null, null, null
R2_8668_B_L_0001, R2_B_L_46, 569b2bfc-3aa8-474c-88da-bc05110ec7a8,2.5334382,2.0973659,0.5518074,0.01002789,87.78001344,0.06996376,0, Primary root,-1,-1,-0.008466667,-57.29577951,0,0, null, null, null, null
R2_8668_B_L_0001, R2_B_L_35A, 503c9274-31e0-4331-bc41-faf469b1dbef,0.08050722,0.07991005,0.005036559,2.64E-05,20.17656493,0.019556733,1, Lateral root, R2_B_L_35, 10b6c1d3-0a82-4ab3-b7de-0716a1245736,0.50285,50.56443684,0,0, null, null, null, null
R2_8668_B_L_0001, R2_B_L_35, 10b6c1d3-0a82-4ab3-b7de-0716a1245736,0.83620524,0.8011108,0.10161235,0.001005018,326.5351703,0.037670106,0, Primary root,-1,-1,-0.008466667,-57.29577951,1,0, 503c9274-31e0-4331-bc41-faf469b1dbef,0.50285, 503c9274-31e0-4331-bc41-faf469b1dbef,0.50285
R2_8668_B_L_0001, R2_B_L_34, 2cdeb976-0f52-4020-930b-1cda55f3d2b8,1.537375,1.5043652,0.13457026,9.55E-04,262.3658982,0.027044553,0, Primary root,-1,-1,-0.008466667,-57.29577951,0,0, null, null, null, null
R2_8668_B_L_0001, R2_B_L_33A, 4692e885-0519-4495-b663-f7c9a6620632,0.32476604,0.24022402,0.022390261,1.48E-04,274.0524066,0.021039022,1, Lateral root, R2_B_L_33, 2119d95b-2490-4c40-a8e4-f9afe8b9155f,0.2180497,92.22139176,0,0, null, null, null, null
R2_8668_B_L_0001, R2_B_L_33, 2119d95b-2490-4c40-a8e4-f9afe8b9155f,0.9782513,0.9697437,0.18744335,0.002910155,145.3702902,0.060933933,0, Primary root,-1,-1,-0.008466667,-57.29577951,1,0, 4692e885-0519-4495-b663-f7c9a6620632,0.2180497, 4692e885-0519-4495-b663-f7c9a6620632,0.2180497
R2_8668_B_L_0001, R2_B_L_32G, f9e50d54-582a-472c-aff5-d5578a0b587c,0.101411104,0.100852065,0.009299006,7.25E-05,21.50275203,0.02657464,1, Lateral root, R2_B_L_32, 9d2cdedf-ad2c-4b68-a569-fd94ccfaeb0b,0.956694,81.5787959,0,0, null, null, null, null
R2_8668_B_L_0001, R2_B_L_32F, 12af6b78-4675-4794-aa5c-2df9b475d474,0.32414427,0.3202129,0.028968425,2.42E-04,59.33912623,0.029633634,1, Lateral root, R2_B_L_32, 9d2cdedf-ad2c-4b68-a569-fd94ccfaeb0b,0.13319401,99.23270388,0,0, null, null, null, null
R2_8668_B_L_0001, R2_B_L_32E, 34ddf6b2-3aca-4604-98c7-296d5b5b0be3,0.23264273,0.22987282,0.014722992,7.66E-05,185.6193656,0.018766413,1, Lateral root, R2_B_L_32, 9d2cdedf-ad2c-4b68-a569-fd94ccfaeb0b,0.59785897,120.6250066,0,0, null, null, null, null
R2_8668_B_L_0001, R2_B_L_32D, 8b6d778b-15a1-4602-89eb-75fb8d4d6690,0.17159195,0.16660228,0.013351778,8.50E-05,215.0479323,0.022433454,1, Lateral root, R2_B_L_32, 9d2cdedf-ad2c-4b68-a569-fd94ccfaeb0b,1.0597941,84.87602874,0,0, null, null, null, null
