image, root_name, root, length, vector_length, surface, volume, direction, diameter, root_order, root_ontology, parent_name, parent, insertion_position, insertion_angle, n_child, child_density, first_child, insertion_first_child, last_child, insertion_last_child
R3_8301_A_L_0001, R3_A_L_36C, a3c35309-457c-431e-9aa5-ee71d611d562, 0.1296581, 0.10274402, 0.017989976, 1.9855979E-4, 298.8420863782683, 0.043197546, 1, Lateral root, R3_A_L_36, 647482aa-30ac-4663-9f03-a9ae5047e880, 0.57017434, 165.7968861771033, 0, 0.0, null, null, null, null
R3_8301_A_L_0001, R3_A_L_36B, e68b0e7c-d866-4ec5-8f07-3688c1cb075e, 0.16881886, 0.16532145, 0.0155416895, 1.145958E-4, 148.64091264251363, 0.028430246, 1, Lateral root, R3_A_L_36, 647482aa-30ac-4663-9f03-a9ae5047e880, 0.95054954, 73.52152226385125, 0, 0.0, null, null, null, null
R3_8301_A_L_0001, R3_A_L_36A, 1d8f7cc4-65b3-485d-9e29-ffb435785917, 0.264294, 0.25372177, 0.018643392, 1.0855926E-4, 203.20625573299165, 0.024903959, 1, Lateral root, R3_A_L_36, 647482aa-30ac-4663-9f03-a9ae5047e880, 0.6795472, 94.16550948302633, 0, 0.0, null, null, null, null
R3_8301_A_L_0001, R3_A_L_36, 647482aa-30ac-4663-9f03-a9ae5047e880, 1.1541429, 0.9701665, 0.11070451, 9.4321684E-4, 115.84297262551604, 0.030624501, 0, Primary root, -1, -1, -0.008466667, -57.29577951308232, 3, 7.88695, a3c35309-457c-431e-9aa5-ee71d611d562, 0.57017434, e68b0e7c-d866-4ec5-8f07-3688c1cb075e, 0.95054954
R3_8301_A_L_0001, R3_A_L_35, 6c699c79-295c-4477-8481-9afe3a9cbfb5, 2.4527328, 1.9820782, 0.32748926, 0.0036051648, 247.1908025160412, 0.040644888, 0, Primary root, -1, -1, -0.008466667, -57.29577951308232, 0, 0.0, null, null, null, null
R3_8301_A_L_0001, R3_A_L_34A, 8a11c06a-f9b5-48b8-b0d4-e6487edeacd6, 0.12822005, 0.12425164, 0.011972059, 9.1628805E-5, 34.0871143171754, 0.02480975, 1, Lateral root, R3_A_L_34, cf19fea4-af8b-437b-b2ee-50c8287a27af, 1.0060124, 81.46937626888821, 0, 0.0, null, null, null, null
R3_8301_A_L_0001, R3_A_L_34, cf19fea4-af8b-437b-b2ee-50c8287a27af, 2.8614202, 2.3131616, 0.3459715, 0.0035510573, 251.19261035075166, 0.03798012, 0, Primary root, -1, -1, -0.008466667, -57.29577951308232, 1, 0.0, 8a11c06a-f9b5-48b8-b0d4-e6487edeacd6, 1.0060124, 8a11c06a-f9b5-48b8-b0d4-e6487edeacd6, 1.0060124
R3_8301_A_L_0001, R3_A_L_32, afd63983-a633-4e87-980e-a58b91e6bcc9, 0.6709087, 0.55332273, 0.06511099, 6.011395E-4, 196.14162714990738, 0.031141998, 0, Primary root, -1, -1, -0.008466667, -57.29577951308232, 0, 0.0, null, null, null, null
R3_8301_A_L_0001, R3_A_L_31A, bf019ff2-e2c7-44ce-bfd4-18e057a226bb, 0.57047105, 0.47431564, 0.058503877, 5.2418746E-4, 84.69898340660455, 0.032285877, 1, Lateral root, R3_A_L_31, 4aaf976e-95c3-4998-9fb1-dc0fa27ebe9a, 1.0250083, 59.001940277184, 0, 0.0, null, null, null, null
R3_8301_A_L_0001, R3_A_L_31, 4aaf976e-95c3-4998-9fb1-dc0fa27ebe9a, 1.6339976, 1.4978576, 0.21498632, 0.0024565668, 130.24046498076933, 0.040658243, 0, Primary root, -1, -1, -0.008466667, -57.29577951308232, 1, 0.0, bf019ff2-e2c7-44ce-bfd4-18e057a226bb, 1.0250083, bf019ff2-e2c7-44ce-bfd4-18e057a226bb, 1.0250083
