image, root_name, root, length, vector_length, surface, volume, direction, diameter, root_order, root_ontology, parent_name, parent, insertion_position, insertion_angle, n_child, child_density, first_child, insertion_first_child, last_child, insertion_last_child
R4_6580_A_L_0001, R4_A_L_6L, b2ffba92-cb67-4632-8e10-f9e12d10f530,1.1393695,1.0914856,0.1540415,0.001770177,305.7671605,0.041627117,1, Lateral root, R4_A_L_6, bf3b888c-9138-4484-b236-326fd452ea41,1.649898,116.5776414,0,0, null, null, null, null
R4_6580_A_L_0001, R4_A_L_6E, fa5afeb1-91bd-4667-87a2-c36aa397413a,0.36879432,0.3064543,0.055300005,6.93E-04,234.6024907,0.042993236,1, Lateral root, R4_A_L_6, bf3b888c-9138-4484-b236-326fd452ea41,1.3563901,93.0611362,0,0, null, null, null, null
R4_6580_A_L_0001, R4_A_L_6C, 99c51277-8a35-43b7-9955-d78e6162ac13,0.6179447,0.58366835,0.058632754,4.61E-04,272.5875769,0.028114526,1, Lateral root, R4_A_L_6, bf3b888c-9138-4484-b236-326fd452ea41,1.78854,175.4199124,0,0, null, null, null, null
R4_6580_A_L_0001, R4_A_L_6B, 1f4b8792-4ae5-4f7c-a4e1-d45053d88a87,1.1070275,1.085613,0.11622111,9.85E-04,242.8293442,0.033424623,1, Lateral root, R4_A_L_6, bf3b888c-9138-4484-b236-326fd452ea41,1.6112981,162.0293538,0,0, null, null, null, null
R4_6580_A_L_0001, R4_A_L_6A, 7d92d483-a533-4732-b270-5fdcb4e1b978,0.6146422,0.6039506,0.11963455,0.001871948,213.6215975,0.06057922,1, Lateral root, R4_A_L_6, bf3b888c-9138-4484-b236-326fd452ea41,0.8186903,172.6276764,0,0, null, null, null, null
R4_6580_A_L_0001, R4_A_L_5P, b38c99ca-4118-4289-aab4-d94fea130b6d,0.100864686,0.100864686,0.008586692,5.90E-05,116.1210706,0.027045254,1, Lateral root, R4_A_L_5, bab5e210-71fd-4490-93da-4dfa197b99e4,2.5412047,102.6281344,0,0, null, null, null, null
R4_6580_A_L_0001, R4_A_L_5N, ac13c7c2-80bf-439b-9a4f-304870aa645c,0.25994146,0.23362064,0.045942973,6.75E-04,132.3898162,0.056949895,1, Lateral root, R4_A_L_5, bab5e210-71fd-4490-93da-4dfa197b99e4,0.5737262,82.58004699,0,0, null, null, null, null
R4_6580_A_L_0001, R4_A_L_5X, f6238fe9-2f4d-4dd7-b629-428d2474bdca,0.28911424,0.28868476,0.024627361,1.74E-04,278.2441483,0.026781779,1, Lateral root, R4_A_L_5, bab5e210-71fd-4490-93da-4dfa197b99e4,0.13626723,150.6942451,0,0, null, null, null, null
R4_6580_A_L_0001, R4_A_L_5T, 993ab686-5273-491a-8c2b-01a40a2029b6,0.11856919,0.11820576,0.018109752,2.21E-04,95.2705453,0.046883658,1, Lateral root, R4_A_L_5, bab5e210-71fd-4490-93da-4dfa197b99e4,3.1836908,95.55030302,0,0, null, null, null, null
R4_6580_A_L_0001, R4_A_L_5E, a80fd813-1941-46db-85bf-3c77db0c2abb,0.14374904,0.105171695,0.01035446,6.87E-05,174.663988,0.02390913,1, Lateral root, R4_A_L_5, bab5e210-71fd-4490-93da-4dfa197b99e4,1.7740841,139.9864482,0,0, null, null, null, null
R4_6580_A_L_0001, R4_A_L_5E, 5465d490-5971-4d66-9f7d-86001e8e81e3,0.21193184,0.21193184,0.026520219,2.64E-04,114.4295264,0.03983057,1, Lateral root, R4_A_L_5, bab5e210-71fd-4490-93da-4dfa197b99e4,2.977287,82.91086037,0,0, null, null, null, null
R4_6580_A_L_0001, R4_A_L_5D, bb820dc1-c082-44af-a6e8-bfbc913d4a0b,0.53078514,0.44854394,0.0626141,7.17E-04,82.13602322,0.039123673,1, Lateral root, R4_A_L_5, bab5e210-71fd-4490-93da-4dfa197b99e4,2.305279,57.94188126,0,0, null, null, null, null
R4_6580_A_L_0001, R4_A_L_5C, b7c03519-6c8e-41c6-8ff7-83659945591a,0.20661345,0.20410074,0.014966516,8.64E-05,163.8356383,0.023326343,1, Lateral root, R4_A_L_5, bab5e210-71fd-4490-93da-4dfa197b99e4,2.407268,151.3640817,0,0, null, null, null, null
R4_6580_A_L_0001, R4_A_L_5B, 11de57de-0021-458a-94f5-01f995b05cbe,0.26562282,0.26557112,0.014140831,6.05E-05,277.0770602,0.017566752,1, Lateral root, R4_A_L_5, bab5e210-71fd-4490-93da-4dfa197b99e4,2.6463158,114.1154675,0,0, null, null, null, null
