image, root_name, root, length, vector_length, surface, volume, direction, diameter, root_order, root_ontology, parent_name, parent, insertion_position, insertion_angle, n_child, child_density, first_child, insertion_first_child, last_child, insertion_last_child
R5_6374_O_L_0001, R5_O_L_30OK, f7e17ee8-fb7f-44d6-8852-f1876d129515, 0.100282155, 0.09813907, 0.0075276564, 4.566086E-5, 211.5252895382838, 0.025401052, 2, Lateral root, R5_O_L_30O, e8b438d7-9e30-43c3-9689-3b5f2c5524fa, 0.853288, 113.50718453315508, 0, 0.0, null, null, null, null
R5_6374_O_L_0001, R5_O_L_30SSS, 1e4ffef5-b751-41b3-a088-8e1a054f646e, 0.27961355, 0.27961355, 0.024072398, 1.6789284E-4, 281.49406158459624, 0.027396502, 2, Lateral root, R5_O_L_30W, d4dddbb9-a418-4df4-9aac-e95119e69ca5, 1.6696465, 83.6114875171443, 0, 0.0, null, null, null, null
R5_6374_O_L_0001, R5_O_L_30RF, 7a75108e-bd55-4791-b704-e6dd332da506, 0.10547415, 0.10547415, 0.007019166, 3.760699E-5, 263.03793422073795, 0.021166062, 2, Lateral root, R5_O_L_30O, e8b438d7-9e30-43c3-9689-3b5f2c5524fa, 0.9497496, 61.994539850700896, 0, 0.0, null, null, null, null
R5_6374_O_L_0001, R5_O_L_30LK, 534e8104-1dab-4354-b15e-dc5ec543578b, 0.17490986, 0.17163482, 0.011600755, 6.1227845E-5, 13.839640923660717, 0.02112967, 2, Lateral root, R5_O_L_30O, e8b438d7-9e30-43c3-9689-3b5f2c5524fa, 0.78425705, 48.807165771077116, 0, 0.0, null, null, null, null
R5_6374_O_L_0001, R5_O_L_30BB, 88031722-db12-4724-9b7a-115a8e1ab566, 0.1293872, 0.1293872, 0.012147667, 9.894278E-5, 263.7513884606808, 0.02963219, 2, Lateral root, R5_O_L_30O, e8b438d7-9e30-43c3-9689-3b5f2c5524fa, 0.5233357, 74.39892836463109, 0, 0.0, null, null, null, null
R5_6374_O_L_0001, R5_O_L_30Z, e8311c18-4cff-455a-9dd3-23992add1852, 0.24046539, 0.23328301, 0.0110563, 4.2494292E-5, 267.4923377106102, 0.016272346, 2, Lateral root, R5_O_L_30O, e8b438d7-9e30-43c3-9689-3b5f2c5524fa, 0.3254012, 73.43423244625849, 0, 0.0, null, null, null, null
R5_6374_O_L_0001, R5_O_L_30OK, 16e84cda-e549-40b3-9038-ca3b8ce14028, 0.24597539, 0.13725781, 0.021302333, 1.4742248E-4, 203.55505983352586, 0.027553638, 2, Lateral root, R5_O_L_30D, 6a831ae2-278b-4c14-a78e-178f2bdf12f7, 1.2946061, 117.76121759353579, 0, 0.0, null, null, null, null
R5_6374_O_L_0001, R5_O_L_30MM, 0e31dc75-886d-476c-b70c-2ac3f808b7b9, 0.2888765, 0.2614903, 0.032114387, 3.1783365E-4, 143.14213224741147, 0.030563971, 2, Lateral root, R5_O_L_30D, 6a831ae2-278b-4c14-a78e-178f2bdf12f7, 1.0390577, 173.9878949165927, 0, 0.0, null, null, null, null
R5_6374_O_L_0001, R5_O_L_30KL, 0c65df05-f1eb-4ecf-b0cf-ec17b41dcc2c, 0.19614375, 0.19551499, 0.011025304, 5.0026472E-5, 353.2531218350174, 0.016914304, 2, Lateral root, R5_O_L_30D, 6a831ae2-278b-4c14-a78e-178f2bdf12f7, 0.82788783, 40.27224334649922, 0, 0.0, null, null, null, null
R5_6374_O_L_0001, R5_O_L_30K, 0d80a98c-63b1-41d9-ad8d-803a5a45984e, 0.42967564, 0.42781678, 0.03267629, 2.1420435E-4, 254.27398189291122, 0.028386774, 2, Lateral root, R5_O_L_30D, 6a831ae2-278b-4c14-a78e-178f2bdf12f7, 0.61404073, 74.97146214161825, 0, 0.0, null, null, null, null
R5_6374_O_L_0001, R5_O_L_30J, c6d40f44-3362-4469-8ddf-fa5d1b1a03fc, 0.12871997, 0.12871997, 0.009249348, 5.2983843E-5, 222.7476864955866, 0.022870446, 2, Lateral root, R5_O_L_30D, 6a831ae2-278b-4c14-a78e-178f2bdf12f7, 0.5130037, 98.22331120855257, 0, 0.0, null, null, null, null
R5_6374_O_L_0001, R5_O_L_30H, 5bbae8b4-a3b4-440b-9d71-d94d10b9f529, 0.27355233, 0.27355233, 0.025442034, 1.9955894E-4, 268.22475255568895, 0.029572587, 2, Lateral root, R5_O_L_30D, 6a831ae2-278b-4c14-a78e-178f2bdf12f7, 0.1971638, 50.370869279659836, 0, 0.0, null, null, null, null
