Treatment/Control,Year,Array,Tube,z,Date,Length (cm),Width (cm),Volume (cm3),Set
Treatment,1,1,1,2,11/04/2017,0.56583,0.021452336,0.000204514764017,1
Treatment,1,1,1,2,11/04/2017,1.29579,0.046610048,0.002210971981023,1
Treatment,1,1,1,3,11/04/2017,0.78307,0.031962753,0.000628316490351,1
Treatment,1,1,1,4,11/04/2017,0.71982,0.048652502,0.001338208493919,1
Treatment,1,1,1,5,11/04/2017,1.14287,0.047176041,0.001997695685791,1
Treatment,1,1,1,5,11/04/2017,1.14224,0.055970161,0.002810347290785,1
Treatment,1,1,1,5,11/04/2017,0.24417,0.040003795,0.000306891036408,1
Treatment,1,1,1,5,11/04/2017,0.33886,0.038769123,0.00040002006386,1
Treatment,1,1,1,5,11/04/2017,0.11523,0.038313105,0.000132846395752,1
Treatment,1,1,1,7,11/04/2017,0.67351,0.083895683,0.003723169351339,1
Treatment,1,1,1,7,11/04/2017,1.06924,0.059867269,0.00300984136167,1
Treatment,1,1,1,8,11/04/2017,1.21933,0.05431054,0.002824743484365,1
Treatment,1,1,1,8,11/04/2017,0.71214,0.030175959,0.000509303964406,1
Treatment,1,1,1,8,11/04/2017,0.91714,0.047770055,0.001643753279316,1
Treatment,1,1,3,1,11/04/2017,0.69993,0.033071766,0.000601255269734,1
Treatment,1,1,3,1,11/04/2017,0.90619,0.038023857,0.001029013602825,1
Treatment,1,1,3,1,11/04/2017,0.2959,0.023040567,0.000123373192882,1
Treatment,1,1,3,2,11/04/2017,0.3313,0.032818478,0.000280251420671,1
Treatment,1,1,3,2,11/04/2017,1.58503,0.025136511,0.000786569304393,1
Treatment,1,1,3,2,11/04/2017,0.53271,0.036797948,0.000566536071424,1
Treatment,1,1,3,2,11/04/2017,4.10447,0.038467857,0.00477026588171,1
Treatment,1,1,3,3,11/04/2017,1.59899,0.038185028,0.001831139744577,1
Treatment,1,1,4,1,11/04/2017,0.48393,0.041010484,0.000639236919632,1
Control,1,2,1,3,11/04/2017,0.13348,0.018930006,3.75670606283179E-05,1
Control,1,2,1,3,11/04/2017,0.32303,0.019925405,0.00010072718269,1
Control,1,2,1,4,11/04/2017,0.90793,0.084287684,0.005066057589429,1
Control,1,2,1,5,11/04/2017,0.5408,0.03678772,0.000574820094942,1
Control,1,2,1,5,11/04/2017,0.11746,0.037334931,0.000128590894424,1
Control,1,2,1,5,11/04/2017,0.16462,0.027516986,9.78980040868579E-05,1
Control,1,2,1,5,11/04/2017,0.15216,0.03034038,0.000110009969885,1
Control,1,2,1,5,11/04/2017,0.41827,0.024853389,0.000202916548041,1
Control,1,2,1,5,11/04/2017,0.65843,0.031040293,0.000498253948511,1
Control,1,2,1,5,11/04/2017,0.6808,0.030568455,0.000499638665466,1
Control,1,2,1,5,11/04/2017,0.76856,0.033385693,0.000672803253915,1
Control,1,2,1,5,11/04/2017,1.53789,0.023686682,0.000677677780968,1
Control,1,2,1,6,11/04/2017,0.46051,0.035464356,0.000454896646933,1
Control,1,2,1,6,11/04/2017,1.25567,0.052882827,0.002758000623151,1
Control,1,2,1,6,11/04/2017,0.28152,0.041215876,0.000375601949608,1
Control,1,2,1,6,11/04/2017,0.84507,0.045233636,0.001358016969524,1
Control,1,2,1,6,11/04/2017,1.60382,0.031770275,0.001271414287662,1
Control,1,2,1,6,11/04/2017,0.47959,0.024819919,0.000232038662354,1
Control,1,2,1,7,11/04/2017,1.40283,0.056103969,0.003468021100757,1
Control,1,2,1,8,11/04/2017,1.27266,0.081790057,0.00668656284227,1
Control,1,2,1,8,11/04/2017,0.35572,0.076648699,0.001641373334453,1
Control,1,2,1,8,11/04/2017,1.22209,0.052524193,0.002647960375099,1
Control,1,2,1,9,11/04/2017,1.45522,0.03658442,0.001529714973872,1
Control,1,2,1,9,11/04/2017,0.46522,0.043661359,0.000696534111852,1
Control,1,2,1,10,11/04/2017,0.354,0.015200486,6.42403241962654E-05,1
Control,1,2,1,11,11/04/2017,0.82521,0.02192982,0.000311690905547,1
Control,1,2,1,11,11/04/2017,0.21492,0.01578077,4.20361300294612E-05,1
Control,1,2,1,12,11/04/2017,0.59869,0.029327101,0.000404417358647,1
Control,1,2,1,12,11/04/2017,1.38034,0.049300384,0.002634973135929,1
Control,1,2,1,12,11/04/2017,0.25621,0.035519253,0.000253871084487,1
Control,1,2,2,4,11/04/2017,0.9274,0.029812063,0.00064735225735,1
Control,1,2,2,4,11/04/2017,0.41538,0.008107184,2.14424870376927E-05,1
Control,1,2,2,4,11/04/2017,0.22649,0.037850891,0.000254853592883,1
Control,1,2,2,4,11/04/2017,0.1697,0.009025296,1.08566107075707E-05,1
Control,1,2,2,4,11/04/2017,0.27895,0.018239598,7.28863840051205E-05,1
Control,1,2,2,4,11/04/2017,0.33787,0.011501862,3.51055233261147E-05,1
Control,1,2,2,4,11/04/2017,1.29088,0.039494988,0.001581464178204,1
Control,1,2,2,5,11/04/2017,0.42506,0.055799047,0.001039425376966,1
Control,1,2,2,5,11/04/2017,0.50087,0.035596012,0.000498444976752,1
Control,1,2,2,5,11/04/2017,0.93637,0.040115534,0.00118348337352,1
Control,1,2,2,6,11/04/2017,0.22,0.021516637,7.99946571749413E-05,1
Control,1,2,2,6,11/04/2017,0.22634,0.038233503,0.000259859744404,1
Control,1,2,2,6,11/04/2017,0.95326,0.021259645,0.000338386400641,1
Control,1,2,2,6,11/04/2017,0.03022,0.004255643,4.29847446773251E-07,1
Control,1,2,2,6,11/04/2017,0.05982,0.024634229,2.85110933367614E-05,1
Control,1,2,2,6,11/04/2017,0.08062,0.031501756,6.28350311865404E-05,1
Control,1,2,2,6,11/04/2017,0.39341,0.039211389,0.00047507192174,1
Control,1,2,2,6,11/04/2017,0.02105,0.017016376,4.78713595181534E-06,1
Control,1,2,2,6,11/04/2017,0.11596,0.022336224,4.54377935366859E-05,1
Control,1,2,2,6,11/04/2017,0.34652,0.025271215,0.00017380812138,1
Control,1,2,2,6,11/04/2017,1.2705,0.029688955,0.000879536783136,1
Control,1,2,2,7,11/04/2017,1.37042,0.097513166,0.010234572735944,1
Control,1,2,2,8,11/04/2017,1.3414,0.03791061,0.001514151605972,1
