Date,Array Type,Array Number,Tree Number,Soil horizon,Live weight (mg),Dead weight (mg),
27/03/2017,Treatment,1,8468,O,954,152,
27/03/2017,Treatment,1,8468,A,578,666,
27/03/2017,Treatment,1,8468,B,131,529,
27/03/2017,Treatment,1,8445,O,188,64,
27/03/2017,Treatment,1,8445,A,31,6,
27/03/2017,Treatment,1,8445,B,428,2710,
27/03/2017,Treatment,1,8457,O,302,90,
27/03/2017,Treatment,1,8457,A,24,889,
27/03/2017,Treatment,1,8457,B,26,8,
27/03/2017,Control,2,8668,O,10,1,
27/03/2017,Control,2,8668,A,12,11,
27/03/2017,Control,2,8668,B,14927,18,
27/03/2017,Control,2,8689,O,70,40,
27/03/2017,Control,2,8689,A,32,803,
27/03/2017,Control,2,8689,B,204,25,
27/03/2017,Control,2,8749,O,151,21,
27/03/2017,Control,2,8749,A,37,114,
27/03/2017,Control,2,8749,B,7599,136,
27/03/2017,Control,3,8352,O,122,34,
27/03/2017,Control,3,8352,A,2096,830,
27/03/2017,Control,3,8352,B,131,341,
27/03/2017,Control,3,8313,O,771,371,
27/03/2017,Control,3,8313,A,697,257,
27/03/2017,Control,3,8313,B,81,40,
27/03/2017,Control,3,8301,O,588,154,
27/03/2017,Control,3,8301,A,275,577,
27/03/2017,Control,3,8301,B,0,0,
27/03/2017,Treatment,4,6583,O,280,169,
27/03/2017,Treatment,4,6583,A,59,7,
27/03/2017,Treatment,4,6583,B,449,2352,
27/03/2017,Treatment,4,6621,O,155,318,
27/03/2017,Treatment,4,6621,A,528,27,
27/03/2017,Treatment,4,6621,B,763,833,
27/03/2017,Treatment,4,6522,O,623,63,
27/03/2017,Treatment,4,6522,A,0,0,
27/03/2017,Treatment,4,6522,B,87,1664,
27/03/2017,Control,5,6437,O,179,40,
27/03/2017,Control,5,6437,A,64,89,
27/03/2017,Control,5,6437,B,102,937,
27/03/2017,Control,5,6374,O,215,16,
27/03/2017,Control,5,6374,A,0,0,
27/03/2017,Control,5,6374,B,169,24,
27/03/2017,Control,5,6034,O,142,0,
27/03/2017,Control,5,6034,A,132,44,
27/03/2017,Control,5,6034,B,0,0,
27/03/2017,Treatment,6,5844,O,126,80,
27/03/2017,Treatment,6,5844,A,17,18,
27/03/2017,Treatment,6,5844,B,388,15,
27/03/2017,Treatment,6,5850,O,342,34,
27/03/2017,Treatment,6,5850,A,206,17,
27/03/2017,Treatment,6,5850,B,269,466,
27/03/2017,Treatment,6,3756,O,68,21,
27/03/2017,Treatment,6,3756,A,298,6,
27/03/2017,Treatment,6,3756,B,923,214,
27/03/2017,Ghost,7,5883,O,437,314,
27/03/2017,Ghost,7,5883,A,207,0,
27/03/2017,Ghost,7,5883,B,683,333,
27/03/2017,Ghost,7,9733,O,99,18,
27/03/2017,Ghost,7,9733,A,540,36,
27/03/2017,Ghost,7,9733,B,146,75,
27/03/2017,Ghost,7,6024,O,153,47,
27/03/2017,Ghost,7,6024,A,366,321,
27/03/2017,Ghost,7,6024,B,48,22,
27/03/2017,Ghost,8,3583,O,115,174,
27/03/2017,Ghost,8,3583,A,0,0,
27/03/2017,Ghost,8,3583,B,267,98,
27/03/2017,Ghost,8,3641,O,158,402,
27/03/2017,Ghost,8,3641,A,20,0,
27/03/2017,Ghost,8,3641,B,24084,105,
27/03/2017,Ghost,8,3701,O,36,291,
27/03/2017,Ghost,8,3701,A,0,0,
27/03/2017,Ghost,8,3701,B,62,207,
27/03/2017,Ghost,9,7334,O,576,503,
27/03/2017,Ghost,9,7334,A,302,114,
27/03/2017,Ghost,9,7334,B,28,45,
27/03/2017,Ghost,9,7369,O,334,817,
27/03/2017,Ghost,9,7369,A,695,831,
27/03/2017,Ghost,9,7369,B,1723,63,
27/03/2017,Ghost,9,7480,O,2943,63,
27/03/2017,Ghost,9,7480,A,142,201,
27/03/2017,Ghost,9,7480,B,54,1143,
06/03/2018,Treatment,1,8446,O,213,95,
06/03/2018,Treatment,1,8446,A,460,12,
06/03/2018,Treatment,1,8446,B,399,1,
06/03/2018,Treatment,1,8467,O,937,45,
06/03/2018,Treatment,1,8467,A,279,25,
06/03/2018,Treatment,1,8467,B,4397,78,
06/03/2018,Treatment,1,8468,O,667,179,
06/03/2018,Treatment,1,8468,A,751,0,
06/03/2018,Treatment,1,8468,B,2829,174,
06/03/2018,Control,2,8668,O,262,29,
06/03/2018,Control,2,8668,A,1457,101,
06/03/2018,Control,2,8668,B,841,26,
06/03/2018,Control,2,8675,O,910,358,
06/03/2018,Control,2,8675,A,651,19,
06/03/2018,Control,2,8675,B,144,49,
06/03/2018,Control,2,8749,O,368,17,
06/03/2018,Control,2,8749,A,394,13,
06/03/2018,Control,2,8749,B,126,0,
06/03/2018,Control,3,6313,B,68,0,
06/03/2018,Control,3,8301,O,803,115,
06/03/2018,Control,3,8301,A,73,14,
06/03/2018,Control,3,8301,B,1,22,
06/03/2018,Control,3,8313,O,333,36,
06/03/2018,Control,3,8313,A,207,458,
06/03/2018,Control,3,9301,O,240,20,
06/03/2018,Control,3,9301,A,397,338,
06/03/2018,Control,3,9301,B,500,6,
06/03/2018,Treatment,4,6520,O,434,139,
06/03/2018,Treatment,4,6520,A,387,96,
06/03/2018,Treatment,4,6520,B,53,62,
06/03/2018,Treatment,4,6580,O,448,27,
06/03/2018,Treatment,4,6580,A,133,60,
06/03/2018,Treatment,4,6580,B,1,17,
06/03/2018,Treatment,4,6621,O,533,141,
06/03/2018,Treatment,4,6621,A,899,66,
06/03/2018,Treatment,4,6621,B,960,455,
06/03/2018,Control,5,85,O,261,36,
06/03/2018,Control,5,85,A,56,0,
06/03/2018,Control,5,85,B,42,1,
06/03/2018,Control,5,6406,O,1400,18,
06/03/2018,Control,5,6406,A,196,11,
06/03/2018,Control,5,6406,B,143,0,
06/03/2018,Control,5,8086,O,264,17,
06/03/2018,Control,5,8086,A,1482,330,
06/03/2018,Control,5,8086,B,54,4,
06/03/2018,Treatment,6,5844,O,108,1,
06/03/2018,Treatment,6,5844,A,152,222,
06/03/2018,Treatment,6,5844,B,341,46,
06/03/2018,Treatment,6,5849,O,1118,173,
06/03/2018,Treatment,6,5849,A,978,118,
06/03/2018,Treatment,6,5849,B,446,32,
06/03/2018,Treatment,6,5850,O,242,8,
06/03/2018,Treatment,6,5850,A,709,93,
06/03/2018,Treatment,6,5850,B,474,0,
06/03/2018,Ghost,7,78,O,183,87,
06/03/2018,Ghost,7,78,A,202,0,
06/03/2018,Ghost,7,78,B,6264,36,
06/03/2018,Ghost,7,8313,O,15,29,
06/03/2018,Ghost,7,8313,A,167,73,
06/03/2018,Ghost,7,8313,B,387,74,
06/03/2018,Ghost,7,9801,O,930,45,
06/03/2018,Ghost,7,9801,A,573,20,
06/03/2018,Ghost,7,9801,B,261,6,
06/03/2018,Ghost,8,3583,O,3798,135,
06/03/2018,Ghost,8,3583,A,1597,14,
06/03/2018,Ghost,8,3583,B,198,125,
06/03/2018,Ghost,8,3643,O,108,27,
06/03/2018,Ghost,8,3643,A,436,48,
06/03/2018,Ghost,8,3643,B,640,16,
06/03/2018,Ghost,8,9474,O,577,94,
