Array Type,Array,z,Root number,Previous sampling date,Current sampling date,Days since 11/04/2017,Days between sampling,Root previous length (cm),Root current length (cm),Root previous width (cm),Root current width (cm),Root previous volume (cm3),Root current volume (cm3),Change in volume (cm3),Est change in Biomass (mg),Increase in volume (cm)
Treatment,1,1,1,42863,42905,69,42,0,1.651144247,0,0.04198465,0,0.002285893,0.002285893,0.6857679,0.002285893
Treatment,1,1,1,42905,43129,293,224,1.651144247,0,0.04198465,0,0.002285893,0,-0.002285893,-0.6857679,0
Treatment,1,2,1,42863,42905,69,42,0,0.803048097,0,0.03291675,0,0.000683385,0.000683385,0.2050155,0.000683385
Treatment,1,2,1,42905,42930,94,25,0.803048097,0,0.03291675,0,0.000683385,0,-0.000683385,-0.2050155,0
Treatment,1,2,2,42863,42905,69,42,0,1.145731839,0,0.03181803,0,0.000911002,0.000911002,0.2733006,0.000911002
Treatment,1,2,2,42905,42930,94,25,1.145731839,0,0.03181803,0,0.000911002,0,-0.000911002,-0.2733006,0
Treatment,1,3,1,42836,42863,27,27,0.480092675,0.516750475,0.027706991,0.031686709,0.000289463,0.000407498,0.000118034,0.0354102,0.000118034
Treatment,1,3,1,42863,43031,195,168,0.516750475,0.710154872,0.031686709,0.028871574,0.000407498,0.000464926,5.74E-05,0.01722,5.74E-05
Treatment,1,3,1,43031,43054,218,23,0.710154872,0.433679389,0.028871574,0.033302105,0.000464926,0.000377748,-8.72E-05,-0.02616,0
Treatment,1,6,1,42863,42905,69,42,0,0.677248809,0,0.031773979,0,0.000537009,0.000537009,0.1611027,0.000537009
Treatment,1,6,1,42905,42930,94,25,0.677248809,0.683074423,0.031900601,0.03402205,0.000541297,0.000620982,7.97E-05,0.02391,7.97E-05
Treatment,1,6,1,42930,42984,148,54,0.683074423,0.356023247,0.03402205,0.017922697,0.000620982,8.98E-05,-0.000531161,-0.1593483,0
Treatment,1,6,1,42984,43031,195,47,0.356023247,0.248497964,0.017922697,0.019704392,8.98E-05,7.58E-05,-1.4E-05,-0.0042,0
Treatment,1,6,1,43031,43054,218,23,0.248497964,0,0.019704392,0,7.58E-05,0,-7.58E-05,-0.02274,0
Treatment,1,6,2,42863,42905,69,42,0,0.531477514,0,0.043960358,0,0.000806672,0.000806672,0.2420016,0.000806672
Treatment,1,6,2,42905,42930,94,25,0.531477514,0.598122726,0.043960358,0.030825286,0.000806672,0.000446369,-0.000360303,-0.1080909,0
Treatment,1,6,2,42930,42984,148,54,0.598122726,0,0.030825286,0,0.000446369,0,-0.000446369,-0.1339107,0
Treatment,1,6,3,42863,42905,69,42,0,0.23180366,0,0.03370766,0,0.000206856,0.000206856,0.0620568,0.000206856
Treatment,1,6,3,42905,42930,94,25,0.23180366,0,0.03370766,0,0.000206856,0,-0.000206856,-0.0620568,0
Treatment,1,6,4,42863,42905,69,42,0,0.744159078,0,0.042932538,0,0.00107728,0.00107728,0.323184,0.00107728
Treatment,1,6,4,42905,42930,94,25,0.744159078,0.771768145,0.042932538,0.025407971,0.00107728,0.000391306,-0.000685974,-0.2057922,0
Treatment,1,6,4,42930,42984,148,54,0.771768145,0,0.025407971,0,0.000391306,0,-0.000391306,-0.1173918,0
Treatment,1,6,5,42863,42905,69,42,0,0.280788654,0,0.031670516,0,0.000221197,0.000221197,0.0663591,0.000221197
Treatment,1,6,5,42905,42930,94,25,0.280788654,0,0.031670516,0,0.000221197,0,-0.000221197,-0.0663591,0
Treatment,1,6,6,42863,42905,69,42,0,0.235432085,0,0.054970529,0,0.000558747,0.000558747,0.1676241,0.000558747
Treatment,1,6,6,42905,42930,94,25,0.235432085,0.358021946,0.054970529,0.029750795,0.000558747,0.000248884,-0.000309863,-0.0929589,0
Treatment,1,6,6,42930,42984,148,54,0.358021946,0,0.029750795,0,0.000248884,0,-0.000248884,-0.0746652,0
Treatment,1,6,7,42863,42905,69,42,0,0.799182704,0,0.036251214,0,0.000824862,0.000824862,0.2474586,0.000824862
Treatment,1,6,7,42905,42930,94,25,0.799182704,0,0.036251214,0,0.000824862,0,-0.000824862,-0.2474586,0
Treatment,1,6,8,42863,42905,69,42,0,0.459529293,0,0.029105191,0,0.000305734,0.000305734,0.0917202,0.000305734
Treatment,1,6,8,42905,42930,94,25,0.459529293,0,0.029105191,0,0.000305734,0,-0.000305734,-0.0917202,0
Treatment,1,6,9,42863,42905,69,42,0,0.084277296,0,0.020950553,0,2.91E-05,2.91E-05,0.00873,2.91E-05
Treatment,1,6,9,42905,42930,94,25,0.084277296,0,0.020950553,0,2.91E-05,0,-2.91E-05,-0.00873,0
Treatment,1,6,10,42863,42905,69,42,0,0.498815702,0,0.036800345,0,0.000530559,0.000530559,0.1591677,0.000530559
Treatment,1,6,10,42905,42930,94,25,0.498815702,0,0.036800345,0,0.000530559,0,-0.000530559,-0.1591677,0
Treatment,1,6,11,42984,43031,195,47,0,0.221248005,0,0.048811788,0,0.000414017,0.000414017,0.1242051,0.000414017
Treatment,1,6,11,43031,43054,218,23,0.221248005,0.261338027,0.048811788,0.038393763,0.000414017,0.000302562,-0.000111456,-0.0334368,0
Treatment,1,6,11,43054,43129,293,75,0.261338027,0,0.038393763,0,0.000302562,0,-0.000302562,-0.0907686,0
Treatment,1,6,12,42984,43031,195,47,0,0.734252022,0,0.058892386,0,0.002000107,0.002000107,0.6000321,0.002000107
Treatment,1,6,12,43031,43054,218,23,0.734252022,0.942880233,0.058892386,0.064687698,0.002000107,0.003098773,0.001098666,0.3295998,0.001098666
Treatment,1,6,12,43054,43129,293,75,0.942880233,0,0.064687698,0,0.003098773,0,-0.003098773,-0.9296319,0
Treatment,1,6,13,42984,43031,195,47,0,0.553413243,0,0.043500273,0,0.000822476,0.000822476,0.2467428,0.000822476
Treatment,1,6,13,43031,43054,218,23,0.553413243,0.532440997,0.043500273,0.052579788,0.000822476,0.00115611,0.000333633,0.1000899,0.000333633
Treatment,1,6,13,43054,43129,293,75,0.532440997,0,0.052579788,0,0.00115611,0,-0.00115611,-0.346833,0
Treatment,1,7,1,42863,42905,69,42,0,1.243159776,0,0.040454928,0,0.001597937,0.001597937,0.4793811,0.001597937
Treatment,1,7,1,42905,42930,94,25,1.243159776,1.393326804,0.040454928,0.030464484,0.001597937,0.001015618,-0.000582319,-0.1746957,0
Treatment,1,7,1,42930,42984,148,54,1.393326804,0.464442268,0.030464484,0.024371587,0.001015618,0.000216665,-0.000798953,-0.2396859,0
Treatment,1,7,1,42984,43031,195,47,0.464442268,0,0.024371587,0,0.000216665,0,-0.000216665,-0.0649995,0
Treatment,1,7,2,42863,42905,69,42,0,1.358286111,0,0.029927861,0,0.000955504,0.000955504,0.2866512,0.000955504
Treatment,1,7,2,42905,42930,94,25,1.358286111,0.570180058,0.029927861,0.014601678,0.000955504,9.55E-05,-0.000860025,-0.2580075,0
Treatment,1,7,2,42930,42984,148,54,0.570180058,0.570180058,0.014601678,0.011681342,9.55E-05,6.11E-05,-3.44E-05,-0.01032,0
Treatment,1,7,2,42984,43031,195,47,0.570180058,0.570180058,0.011681342,0.009345074,6.11E-05,3.91E-05,-2.2E-05,-0.0066,0
Treatment,1,7,2,43031,43054,218,23,0.570180058,0,0.009345074,0,3.91E-05,0,-3.91E-05,-0.01173,0
Treatment,1,7,3,42863,42905,69,42,0,0.050440548,0,0.009561727,0,3.62E-06,3.62E-06,0.001086,3.62E-06
Treatment,1,7,4,42863,42905,69,42,0,0.055762054,0,0.017326257,0,1.31E-05,1.31E-05,0.00393,1.31E-05
Treatment,1,7,5,42863,42905,69,42,0,1.108399496,0,0.035333499,0,0.001086825,0.001086825,0.3260475,0.001086825
Treatment,1,7,6,42863,42905,69,42,0,0.051035697,0,0.010157994,0,4.14E-06,4.14E-06,0.001242,4.14E-06
Treatment,1,7,7,42863,42905,69,42,0,0.016633669,0,0.015258368,0,3.04E-06,3.04E-06,0.000912,3.04E-06
Treatment,1,7,8,42863,42905,69,42,0,0.707809105,0,0.028080358,0,0.00043834,0.00043834,0.131502,0.00043834
Treatment,1,7,9,42905,42930,94,25,0,1.227677257,0,0.022488745,0,0.000487646,0.000487646,0.1462938,0.000487646
Treatment,1,7,10,42905,42930,94,25,0,0.725432578,0,0.027380746,0,0.000427147,0.000427147,0.1281441,0.000427147
Treatment,1,7,11,42905,42930,94,25,0,1.137565002,0,0.088789461,0,0.007043507,0.007043507,2.1130521,0.007043507
Treatment,1,8,1,42836,42905,69,69,1.029953123,0.852720749,0,0.053371256,0,0.001907707,0.001907707,0.5723121,0.001907707
Treatment,1,8,1,42905,42930,94,25,0.852720749,0.785781063,0.053371256,0.04437464,0.001907707,0.001215237,-0.000692469,-0.2077407,0
Treatment,1,8,1,42930,42984,148,54,0.785781063,0.700088764,0.04437464,0.036888678,0.001215237,0.00074822,-0.000467018,-0.1401054,0
Treatment,1,8,1,42984,43031,195,47,0.700088764,0,0.036888678,0.024059023,0.00074822,0,-0.00074822,-0.224466,0
Treatment,1,8,2,42836,42863,27,27,1.14002547,0.86398008,0.022981941,0.036647052,0.000472909,0.000911322,0.000438412,0.1315236,0.000438412
Treatment,1,8,2,42863,42905,69,42,0.86398008,0.653434361,0.036647052,0.038402483,0.000911322,0.000756851,-0.000154471,-0.0463413,0
Treatment,1,8,2,42905,42930,94,25,0.653434361,0.723485879,0.038402483,0.025454334,0.000756851,0.000368166,-0.000388685,-0.1166055,0
Treatment,1,8,2,42930,42984,148,54,0.723485879,0.624439763,0.025454334,0.033682295,0.000368166,0.000556396,0.00018823,0.056469,0.00018823
Treatment,1,8,2,42984,43031,195,47,0.624439763,0,0.033682295,0,0.000556396,0,-0.000556396,-0.1669188,0
Treatment,1,9,1,42863,42905,69,42,0,1.300464323,0,0.049755295,0,0.002528523,0.002528523,0.7585569,0.002528523
Treatment,1,9,1,42905,42930,94,25,1.300464323,0.754450579,0.049755295,0.055911013,0.002528523,0.001852317,-0.000676206,-0.2028618,0
Treatment,1,9,1,42930,42984,148,54,0.754450579,0.518061674,0.055911013,0.027118453,0.001852317,0.000299227,-0.00155309,-0.465927,0
Treatment,1,9,1,42984,43031,195,47,0.518061674,0.583102738,0.027118453,0.014330471,0.000299227,9.4E-05,-0.000205178,-0.0615534,0
Treatment,1,9,1,43031,43121,285,90,0.583102738,0.584888522,0.014330471,0.026734444,9.4E-05,0.000328326,0.000234277,0.0702831,0.000234277
Treatment,1,9,1,43129,43172,336,43,0.584888522,0,0.026734444,0,0.000328326,0,-0.000328326,-0.0984978,0
Treatment,1,9,2,42905,42930,94,25,0,0.454311145,0,0.025012536,0,0.000223233,0.000223233,0.0669699,0.000223233
Treatment,1,9,2,42930,42984,148,54,0.454311145,0.46881728,0.02501233,0.028275847,0.000223229,0.000294391,7.12E-05,0.02136,7.12E-05
Treatment,1,9,2,42984,43129,293,145,0.46881728,0.281830397,0.028275847,0.032460055,0.000294391,0.000233226,-6.12E-05,-0.01836,0
Treatment,1,9,2,43129,43172,336,43,0.281830397,0,0.032460055,0,0.000233226,0,-0.000233226,-0.0699678,0
Treatment,1,9,3,42905,42930,94,25,0,0.626668966,0,0.027087433,0,0.00036113,0.00036113,0.108339,0.00036113
Treatment,1,9,3,42930,42984,148,54,0.626668966,0.462663513,0.027087433,0.027713465,0.00036113,0.000279085,-8.2E-05,-0.0246,0
Treatment,1,9,3,42984,43031,195,47,0.462663513,0.532592539,0.027713465,0.018488567,0.000279085,0.000142985,-0.0001361,-0.04083,0
Treatment,1,9,3,43031,43121,285,90,0.532592539,0,0.018488567,0,0.000142985,0,-0.000142985,-0.0428955,0
Treatment,1,9,4,42984,43031,195,47,0,0.317651199,0,0.025555645,0,0.000162935,0.000162935,0.0488805,0.000162935
Treatment,1,9,4,43031,43054,218,23,0.317651199,0,0.025555645,0,0.000162935,0,-0.000162935,-0.0488805,0
Treatment,1,9,5,42984,43031,195,47,0,0.709088884,0,0.032460055,0,0.000586799,0.000586799,0.1760397,0.000586799
Treatment,1,9,5,43031,43054,218,23,0.709088884,0,0.032460055,0,0.000586799,0,-0.000586799,-0.1760397,0
Treatment,4,3,1,42863,42921,85,58,0,0.864427677,0,0.028144088,0,0.000537765,0.000537765,0.1613295,0.000537765
Treatment,4,3,2,42863,42921,85,58,0,0.30743832,0,0.028721815,0,0.000199192,0.000199192,0.0597576,0.000199192
Treatment,4,3,1,42921,42930,94,9,0.864427677,0,0.028144088,0,0.000537765,0,-0.000537765,-0.1613295,0
Treatment,4,3,2,42921,42930,94,9,0.30743832,0,0.028721815,0,0.000199192,0,-0.000199192,-0.0597576,0
Treatment,4,4,1,42836,42863,27,27,0.208442784,0,0.017317909,0,4.91E-05,0,-4.91E-05,-0.01473,0
Treatment,4,4,2,42836,42863,27,27,0.151722733,0,0.02012236,0,4.83E-05,0,-4.83E-05,-0.01449,0
Treatment,4,5,1,42836,42863,27,27,0.760330453,0,0.030372197,0,0.000550864,0,-0.000550864,-0.1652592,0
Treatment,4,5,2,42836,42863,27,27,0.550593964,0,0.036860623,0,0.000587552,0,-0.000587552,-0.1762656,0
Treatment,4,6,1,42836,42863,27,27,0,1.083613886,0,0.027001197,0,0.000620484,0.000620484,0.1861452,0.000620484
Treatment,4,6,1,42863,42921,85,58,1.083613886,0,0.027001197,0,0.000620484,0,-0.000620484,-0.1861452,0
Treatment,4,8,1,42836,42863,27,27,0,0.398183307,0,0.027534056,0,0.00023709,0.00023709,0.071127,0.00023709
Treatment,4,8,1,42863,42921,85,58,0.398183307,0,0.027534056,0,0.00023709,0,-0.00023709,-0.071127,0
Treatment,4,8,2,42836,42863,27,27,0,0.259717928,0,0.031394324,0,0.000201045,0.000201045,0.0603135,0.000201045
Treatment,4,8,2,42863,42921,85,58,0.259717928,0,0.031394324,0,0.000201045,0,-0.000201045,-0.0603135,0
Treatment,4,9,1,42863,42921,85,58,0,0.708705569,0,0.037583324,0,0.000786224,0.000786224,0.2358672,0.000786224
Treatment,4,9,1,42921,42930,94,9,0.708705569,0,0.037583324,0,0.000786224,0,-0.000786224,-0.2358672,0
Treatment,4,10,1,42863,42921,85,58,0,0.753531503,0,0.060650821,0,0.002177031,0.002177031,0.6531093,0.002177031
Treatment,4,10,1,42921,42930,94,9,0.753531503,0,0.060650821,0,0.002177031,0,-0.002177031,-0.6531093,0
Control,2,1,1,42907,42930,94,23,0,0.669331362,0,0.050771377,0,0.001355092,0.001355092,0.4065276,0.001355092
Control,2,1,2,42907,42930,94,23,0,0.306689333,0,0.023408503,0,0.000131988,0.000131988,0.0395964,0.000131988
Control,2,1,1,42930,42983,147,53,0.669331362,1.206923121,0.050771377,0.047515994,0.001355092,0.002140174,0.000785082,0.2355246,0.000785082
Control,2,1,2,42930,42983,147,53,0.306689333,0.584685233,0.023408503,0.04229795,0.000131988,0.000821582,0.000689593,0.2068779,0.000689593
Control,2,1,3,42930,42983,147,53,0,0.274683164,0,0.036214833,0,0.00028294,0.00028294,0.084882,0.00028294
