Array Type,Array,z,Root number,Previous sampling date,Current sampling date,Days since 11/04/2017,Days between sampling,Root previous length (cm),Root current length (cm),Production
Treatment,1,1,1,08/05/2017,19/06/2017,69,42,0,5.8487706,1.218584653
Treatment,1,1,1,19/06/2017,29/01/2018,293,224,5.8487706,0,0
Treatment,1,2,1,08/05/2017,19/06/2017,69,42,0,2.8445995,0.364304951
Treatment,1,2,1,19/06/2017,14/07/2017,94,25,2.8445995,0,0
Treatment,1,2,2,08/05/2017,19/06/2017,69,42,0,4.058472,0.485645274
Treatment,1,2,2,19/06/2017,14/07/2017,94,25,4.058472,0,0
Treatment,1,3,1,11/04/2017,08/05/2017,27,27,1.7006097,1.8304609,0.000243086
Treatment,1,3,1,08/05/2017,23/10/2017,195,168,1.8304609,2.5155482,0.000641733
Treatment,1,3,1,23/10/2017,15/11/2017,218,23,2.5155482,1.5362021,0
Treatment,1,6,1,08/05/2017,19/06/2017,69,42,0,2.3989866,0.286273447
Treatment,1,6,1,19/06/2017,14/07/2017,94,25,2.3989866,2.4196224,1.23E-05
Treatment,1,6,1,14/07/2017,06/09/2017,148,54,2.4196224,1.2611244,0
Treatment,1,6,1,06/09/2017,23/10/2017,195,47,1.2611244,0.88024265,0
Treatment,1,6,1,23/10/2017,15/11/2017,218,23,0.88024265,0,0
Treatment,1,6,2,08/05/2017,19/06/2017,69,42,0,1.8826278,0
Treatment,1,6,2,19/06/2017,14/07/2017,94,25,1.8826278,2.118702,0.004814193
Treatment,1,6,2,14/07/2017,06/09/2017,148,54,2.118702,0,0
Treatment,1,6,3,08/05/2017,19/06/2017,69,42,0,0.8211072,0.110272476
Treatment,1,6,3,19/06/2017,14/07/2017,94,25,0.8211072,0,0
Treatment,1,6,4,08/05/2017,19/06/2017,69,42,0,2.6359997,0.574286398
Treatment,1,6,4,19/06/2017,14/07/2017,94,25,2.6359997,2.733798,0.003550062
Treatment,1,6,4,14/07/2017,06/09/2017,148,54,2.733798,0,0
Treatment,1,6,5,08/05/2017,19/06/2017,69,42,0,0.99462444,0.117917825
Treatment,1,6,5,19/06/2017,14/07/2017,94,25,0.99462444,0,0
Treatment,1,6,6,08/05/2017,19/06/2017,69,42,0,0.83396,0.297862002
Treatment,1,6,6,19/06/2017,14/07/2017,94,25,0.83396,1.2682043,0.032645641
Treatment,1,6,6,14/07/2017,06/09/2017,148,54,1.2682043,0,0
Treatment,1,6,7,08/05/2017,19/06/2017,69,42,0,2.8309073,0.439724642
Treatment,1,6,7,19/06/2017,14/07/2017,94,25,2.8309073,0,0
Treatment,1,6,8,08/05/2017,19/06/2017,69,42,0,1.627769,0.162983536
Treatment,1,6,8,19/06/2017,14/07/2017,94,25,1.627769,0,0
Treatment,1,6,9,08/05/2017,19/06/2017,69,42,0,0.2985315,0.015487853
Treatment,1,6,9,19/06/2017,14/07/2017,94,25,0.2985315,0,0
Treatment,1,6,10,08/05/2017,19/06/2017,69,42,0,1.7669314,0.282835233
Treatment,1,6,10,19/06/2017,14/07/2017,94,25,1.7669314,0,0
Treatment,1,6,11,06/09/2017,23/10/2017,195,47,0,0.7837164,0.220708171
